result
"[1, {65: 2.1637999932813843}, [65, 49, 31, 91, 46, 34, 11, 39, 25, 40]]"
"[2, {30: 4.833983687262338}, [30, 80, 5, 75, 100, 52, 72, 98, 96, 89]]"
"[3, {38: 7.893769533553847}, [38, 47, 27, 14, 53, 41, 42, 94, 89, 72]]"
"[4, {54: 4.189270751694228}, [54, 12, 52, 49, 32, 69, 6, 47, 88, 100]]"
"[5, {34: 5.657037641190896}, [34, 6, 97, 87, 29, 91, 10, 5, 60, 17]]"
"[6, {1: -2.5378365361008894}, [1, 15, 100, 97, 3, 69, 16, 46, 62, 64]]"
"[7, {50: 7.03838435690631}, [50, 62, 83, 11, 54, 38, 20, 41, 52, 13]]"
"[8, {29: 3.8706818258473836}, [29, 1, 7, 69, 48, 5, 60, 56, 54, 76]]"
"[9, {89: 3.1352517019196675}, [89, 69, 32, 21, 47, 14, 87, 29, 70, 28]]"
"[10, {48: 5.900002680559713}, [48, 21, 47, 65, 69, 4, 7, 89, 81, 72]]"
"[11, {35: 6.755028597296572}, [35, 69, 46, 47, 10, 5, 21, 42, 54, 26]]"
"[12, {29: 4.506786341681268}, [29, 72, 32, 88, 21, 69, 95, 1, 92, 82]]"
"[13, {35: 7.682517970002575}, [35, 31, 50, 56, 48, 46, 23, 5, 7, 16]]"
"[14, {1: 8.672507485281436}, [1, 3, 11, 36, 55, 52, 38, 87, 42, 67]]"
"[15, {90: 3.9397296145010055}, [90, 83, 40, 2, 49, 29, 52, 72, 96, 53]]"
"[16, {29: 4.965755480615582}, [29, 35, 81, 46, 48, 25, 96, 13, 64, 55]]"
"[17, {54: 3.1326854598576155}, [54, 72, 49, 19, 87, 61, 39, 7, 63, 25]]"
"[18, {73: 6.276796019279381}, [73, 72, 61, 50, 31, 66, 62, 29, 98, 42]]"
"[19, {27: 3.667193500380993}, [27, 36, 35, 68, 53, 54, 69, 10, 40, 65]]"
"[20, {35: 4.096419536158179}, [35, 69, 66, 49, 26, 11, 20, 38, 8, 52]]"
"[21, {27: 2.4283127247493455}, [27, 49, 7, 92, 28, 39, 20, 16, 89, 93]]"
"[22, {38: 2.4087320721825014}, [38, 69, 65, 34, 18, 68, 28, 20, 3, 81]]"
"[23, {48: 5.432073771186863}, [48, 12, 61, 63, 25, 53, 65, 37, 51, 9]]"
"[24, {72: 6.653548733800722}, [72, 88, 78, 77, 87, 36, 27, 84, 75, 70]]"
"[25, {36: 4.751893935057426}, [36, 53, 68, 56, 65, 9, 1, 26, 44, 34]]"
"[26, {11: 6.467346434562333}, [11, 28, 49, 56, 35, 50, 38, 25, 29, 30]]"
"[27, {62: 3.4756389965424868}, [62, 48, 28, 47, 2, 14, 26, 10, 38, 22]]"
"[28, {15: 1.135273355445563}, [15, 32, 27, 23, 5, 46, 55, 11, 40, 22]]"
"[29, {36: 5.0373229015800565}, [36, 69, 29, 32, 19, 7, 5, 25, 37, 39]]"
"[30, {36: 4.252008388253524}, [36, 69, 25, 56, 68, 28, 7, 15, 18, 24]]"
"[31, {32: 4.1775134683133395}, [32, 46, 23, 12, 18, 11, 91, 57, 6, 76]]"
"[32, {35: 3.540193010963518}, [35, 50, 72, 2, 55, 20, 47, 41, 15, 81]]"
"[33, {27: 4.543285900733038}, [27, 65, 72, 73, 100, 42, 38, 41, 20, 47]]"
"[34, {50: 2.8828273709584304}, [50, 35, 53, 49, 56, 28, 15, 89, 76, 81]]"
